site_id,site_name,latitude,longitude
W5315,GF,20.145510,40.267520
W3224,GF,20.328065,42.071720
W6163,GF,21.431768,39.843938
W2445,RT,21.444700,39.812100
W3847,RT,21.399681,39.818598
W5646,GF,21.485158,39.173978
W4200,GF,21.642735,39.143303
W4247,RT,21.764786,39.181220
W6058,GF,22.037470,39.161460
W5651,GF,20.847040,40.956130
W2738,GF,21.224530,40.483670
W6346,RT,21.443260,39.834565
W3927,RT,21.439185,39.826766
W2485,RT,21.444858,39.820680
W5578,GF,21.489816,39.790180
W2134,RT,21.533916,39.188521
W4129,RT,21.641396,39.140031
W2613,RT,21.765759,39.229766
W6294,GF,19.320263,42.077993
W2096,GF,21.663300,39.986000
W2469,RT,21.443743,39.838173
W2106,RT,21.550071,39.147615
W2722,GF,22.533600,41.922800
W2723,GF,22.644400,42.048500
W3695,GF,18.978000,41.275400
W4891,GF,19.823700,41.376100
W4890,GF,19.864500,41.360900
W4315,RT,21.258777,40.427354
W5956,GF,21.421110,39.846570
W4528,GF,21.393598,39.851678
W5963,GF,21.437210,39.831978
W5483,GF,21.597128,39.800582
W2031,RT,21.536597,39.207023
W2117,RT,21.543503,39.206796
W3634,GF,21.621698,39.142267
W3808,GF,21.799962,39.095665
W4843,GF,19.490207,41.960125
W3889,GF,21.650685,39.637697
W2564,GF,21.458230,40.439198
W4516,GF,21.507210,39.136553
W4515,GF,21.528867,39.142157
W2021,RT,21.558816,39.188815
W2218,RT,21.586481,39.197881
W3894,RT,21.391563,39.840208
W5505,GF,21.390600,39.845400
W6284,GF,21.349570,39.567708
W2756,GF,20.373700,39.998500
W2566,RT,21.264548,40.434473
W5600,RT,21.472231,39.789723
W2533,GF,21.368197,40.272125
W2395,RT,21.397170,39.888241
W4053,RT,21.386728,39.868783
W3693,GF,21.640585,39.666108
W2017,RT,21.519686,39.183355
W4179,RT,21.580732,39.250237
W3660,RT,21.393982,39.830367
W3516,GF,22.453703,39.191440
W3920,GF,22.786038,38.966447
W1792,GF,20.127638,41.417757
W6120,RT,21.430367,39.810598
W2015,Dismantled,#N/A,#N/A
W3088,GF,19.541933,41.803117
W2512,GF,21.301886,40.384308
W5595,RT,21.447890,39.813666
W2010,RT,21.518400,39.171300
W4080,GF,21.477028,39.762257
